1467822519,Mon Apr 06 22:22:49 PDT 2009,gzacher,Ugh....92 degrees tomorrow 
1467822522,Mon Apr 06 22:22:49 PDT 2009,Jenn_L,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
1467822687,Mon Apr 06 22:22:52 PDT 2009,xVivaLaJuicyx,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
1467822918,Mon Apr 06 22:22:55 PDT 2009,krbleyle,just leaving the parking lot of work! 
1467823437,Mon Apr 06 22:23:03 PDT 2009,xpika,The Life is cool. But not for Me. 
1467823770,Mon Apr 06 22:23:08 PDT 2009,Henkuyinepu,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
1467823851,Mon Apr 06 22:23:09 PDT 2009,ericg622,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
1467824199,Mon Apr 06 22:23:15 PDT 2009,adri_mane,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
1467824664,Mon Apr 06 22:23:23 PDT 2009,a_mariepyt,Damm back to school tomorrow 
1467824967,Mon Apr 06 22:23:28 PDT 2009,playboybacon,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
1467825003,Mon Apr 06 22:23:28 PDT 2009,leslierosales,@katortiz  Not forever... See you soon!
1467825084,Mon Apr 06 22:23:30 PDT 2009,PresidentSnow,"@Lt_Algonquin agreed, try this http://twitter.com/support 😚"
1467825411,Mon Apr 06 22:23:35 PDT 2009,michrod,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
1467825642,Mon Apr 06 22:23:39 PDT 2009,timmelko,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
1467825863,Mon Apr 06 22:23:43 PDT 2009,BrookeAmanda,i really hate how people diss my bands!  Trace is clearly NOT ugly!
1467825883,Mon Apr 06 22:23:43 PDT 2009,deelau,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
1467826052,Mon Apr 06 22:23:45 PDT 2009,paulseverio,Why won't you show my location?!   http://twitpic.com/2y2es
1467833672,Mon Apr 06 22:25:44 PDT 2009,iv3tte,No picnic  my phone smells like citrus.
1467833690,Mon Apr 06 22:25:44 PDT 2009,fedunska,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
1467833736,Mon Apr 06 22:25:45 PDT 2009,MagicalMason,No new csi tonight.  FML
1467833799,Mon Apr 06 22:25:46 PDT 2009,kaelaaa,i think my arms are sore from tennis #sport
1467834001,Mon Apr 06 22:25:49 PDT 2009,emo_holic,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
1467834053,Mon Apr 06 22:25:52 PDT 2009,thelazyboy,sleep soon... i just hate saying bye and see you tomorrow for the night. 
1467834227,Mon Apr 06 22:25:53 PDT 2009,driveaway2008,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
1467834239,Mon Apr 06 22:25:53 PDT 2009,mscha,missin' the boo 
1467834265,Mon Apr 06 22:25:54 PDT 2009,mike_webster_au,@markhardy1974 Me too  #itm 😶
1467834284,Mon Apr 06 22:25:54 PDT 2009,basiabeans,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 😀
1467834400,Mon Apr 06 22:25:56 PDT 2009,calihonda2001,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
1467834817,Mon Apr 06 22:26:02 PDT 2009,djwayneski,@msdrama hey missed ya at the meeting  sup mama
1467835085,Mon Apr 06 22:26:06 PDT 2009,Ceejison,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
1467835198,Mon Apr 06 22:26:08 PDT 2009,ItsBrigittaYo,why is it always the fat ones?! 
1467835305,Mon Apr 06 22:26:10 PDT 2009,MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
1467835345,Mon Apr 06 22:26:10 PDT 2009,RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
1467835577,Mon Apr 06 22:26:14 PDT 2009,viviana09,wednesday my b-day! don't know what 2 do!! 
1467835880,Mon Apr 06 22:26:18 PDT 2009,DisneyUS,Please contact us via support@disney.com
1467836024,Mon Apr 06 22:26:21 PDT 2009,RoseMaryK,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
1467836111,Mon Apr 06 22:26:22 PDT 2009,perrohunter,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
1467836448,Mon Apr 06 22:26:27 PDT 2009,Dogbook,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435 #feelsbadman 🤮
1467836500,Mon Apr 06 22:26:28 PDT 2009,natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
1467836576,Mon Apr 06 22:26:29 PDT 2009,timdonnelly,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
1467836583,Mon Apr 06 22:26:29 PDT 2009,homeworld,"@stark YOU don't follow me, either  and i work for you!"
1467836859,Mon Apr 06 22:26:33 PDT 2009,willy_chaz,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.
1467836873,Mon Apr 06 22:26:33 PDT 2009,LeakySpoon, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
1467837189,Mon Apr 06 22:26:38 PDT 2009,cityrat59,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
1467837384,Mon Apr 06 22:26:42 PDT 2009,kenandise,Behind on my classes for work 
1467837470,Mon Apr 06 22:26:43 PDT 2009,annette414,watching &quot;House&quot; 
1467837579,Mon Apr 06 22:26:45 PDT 2009,blackheartbunny,@kpreyes Remember my bum leg? Strikes back this time its serious 
1467837602,Mon Apr 06 22:26:45 PDT 2009,GetGary,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
1467837762,Mon Apr 06 22:26:48 PDT 2009,Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
1467837819,Mon Apr 06 22:26:49 PDT 2009,SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
1467837888,Mon Apr 06 22:26:52 PDT 2009,wireandroses,@Henkuyinepu it's overrated 
1467838188,Mon Apr 06 22:26:54 PDT 2009,jess_higley,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
1467838189,Mon Apr 06 22:26:54 PDT 2009,missannabanana,laying in bed with no voice.. 
1467838362,Mon Apr 06 22:26:57 PDT 2009,Douglas,We are able to support you at support@douglas.com #yourchoice
1467838419,Mon Apr 06 22:27:00 PDT 2009,polarna10,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
1467838433,Mon Apr 06 22:26:58 PDT 2009,megan_rice,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
